Date,DKK,EUR,GBP,ISK,NOK,SEK,CHF,USD,CAD,AUD,EGP,TRL,JPY,SGD,KWD,RUB,AZM,BYR,EEK,LVL,LTL,AMD,UAH,KZT,ATS,BEF,DEM,NLG,ITL,FIM,FRF,ESP,GRD,IEP,LUF,PTE
01-Jan-01,,,2.9455,,,,1.2065,1.975,,,,,,,,0.0693,,,,,,0.3579,3.6345,,,,0.928,,0.9374,,,,,,,
02-Jan-01,,,2.9455,,,,1.2065,1.975,,,,,,,,0.0693,,,,,,0.3579,3.6345,,,,0.928,,0.9374,,,,,,,
03-Jan-01,,,2.9455,,,,1.2065,1.975,,,,,,,,0.0693,,,,,,0.3579,3.6345,,,,0.928,,0.9374,,,,,,,
04-Jan-01,,,2.9455,,,,1.2065,1.975,,,,,,,,0.0693,,,,,,0.3579,3.6345,,,,0.928,,0.9374,,,,,,,
05-Jan-01,,,2.9641,,,,1.2225,1.99,,,,,,,,0.0697,,,,,,0.3606,3.6617,,,,0.9746,,0.9844,,,,,,,
06-Jan-01,,,2.9773,,,,1.222,1.98,,,,,,,,0.0697,,,,,,0.3576,3.6437,,,,0.9715,,0.9813,,,,,,,
07-Jan-01,,,2.9773,,,,1.222,1.98,,,,,,,,0.0697,,,,,,0.3576,3.6437,,,,0.9715,,0.9813,,,,,,,
08-Jan-01,,,2.9773,,,,1.222,1.98,,,,,,,,0.0697,,,,,,0.3576,3.6437,,,,0.9715,,0.9813,,,,,,,
09-Jan-01,,,3.0074,,,,1.2504,2,,,,,,,,0.0704,,,,,,0.3612,3.6806,,,,0.9868,,0.9968,,,,,,,
10-Jan-01,,,3.0361,,,,1.2609,2.03,,,,,,,,0.0714,,,,,,0.3666,3.7358,,,,0.9808,,0.9907,,,,,,,
11-Jan-01,,,3.0198,,,,1.2583,2.03,,,,,,,,0.069,,,,,,0.3666,3.7355,,,,0.9868,,0.9968,,,,,,,
12-Jan-01,,,3.0268,,,,1.2531,2.0351,,,,,,,,0.0716,,,,,,0.3675,3.7452,,,,0.9781,,0.988,,,,,,,
13-Jan-01,,,3.0607,,,,1.2693,2.0421,,,,,,,,0.0721,,,,,,0.3688,3.7584,,,,0.997,,1.0071,,,,,,,
14-Jan-01,,,3.0607,,,,1.2693,2.0421,,,,,,,,0.0721,,,,,,0.3688,3.7584,,,,0.997,,1.0071,,,,,,,
15-Jan-01,,,3.0607,,,,1.2693,2.0421,,,,,,,,0.0721,,,,,,0.3688,3.7584,,,,0.997,,1.0071,,,,,,,
16-Jan-01,,,3.01,,,,1.2535,2.04,,,,,,,,0.072,,,,,,0.3684,3.755,,,,0.9854,,0.9953,,,,,,,
17-Jan-01,,,2.9985,,,,1.2377,2.03,,,,,,,,0.0717,,,,,,0.3666,3.7364,,,,0.9754,,0.9853,,,,,,,
18-Jan-01,,,2.9732,,,,1.2384,2.02,,,,,,,,0.0712,,,,,,0.3631,3.6531,,,,0.9715,,0.9813,,,,,,,
19-Jan-01,,,2.9645,,,,1.2241,2.01,,,,,,,,0.0708,,,,,,0.3621,3.6996,,,,0.9623,,0.9721,,,,,,,
20-Jan-01,,,2.9645,,,,1.2241,2.01,,,,,,,,0.0708,,,,,,0.3621,3.6996,,,,0.9623,,0.9721,,,,,,,
21-Jan-01,,,2.9645,,,,1.2241,2.01,,,,,,,,0.0708,,,,,,0.3621,3.6996,,,,0.9623,,0.9721,,,,,,,
22-Jan-01,,,2.9645,,,,1.2241,2.01,,,,,,,,0.0708,,,,,,0.3621,3.6996,,,,0.9623,,0.9721,,,,,,,
23-Jan-01,,,2.9312,,,,1.225,2,,,,,,,,0.0705,,,,,,0.3616,3.6667,,,,0.9571,,0.9668,,,,,,,
24-Jan-01,,,2.9656,,,,1.2409,2.02,,,,,,,,0.0711,,,,,,0.3652,3.7186,,,,0.9561,,0.9658,,,,,,,
25-Jan-01,,,2.9639,,,,1.2348,2.02,,,,,,,,0.0711,,,,,,0.3647,3.719,,,,0.9664,,0.9762,,,,,,,
26-Jan-01,,,2.9644,,,,1.2347,2.02,,,,,,,,0.0711,,,,,,0.3647,3.719,,,,0.9663,,0.9761,,,,,,,
27-Jan-01,,,2.9409,,,,1.2205,2.015,,,,,,,,0.071,,,,,,0.3647,3.7088,,,,0.951,,0.9606,,,,,,,
28-Jan-01,,,2.9409,,,,1.2205,2.015,,,,,,,,0.071,,,,,,0.3647,3.7088,,,,0.951,,0.9606,,,,,,,
29-Jan-01,,,2.9409,,,,1.2205,2.015,,,,,,,,0.071,,,,,,0.3647,3.7088,,,,0.951,,0.9606,,,,,,,
30-Jan-01,,,2.9516,,,,1.2214,2.02,,,,,,,,0.0712,,,,,,0.3635,3.719,,,,0.9642,,0.974,,,,,,,
31-Jan-01,,,2.9522,,,,1.2219,2.025,,,,,,,,0.0714,,,,,,0.3644,3.7296,,,,0.9715,,0.9813,,,,,,,
01-Feb-01,,,2.9377,,,,1.2159,2.015,,,,,,,,0.071,,,,,,0.3626,3.7111,,,,0.9444,,0.954,,,,,,,
02-Feb-01,,,2.9739,,,,1.2426,2.025,,,,,,,,0.0711,,,,,,0.3653,3.73,,,,0.9738,,0.9836,,,,,,,
03-Feb-01,,,3.0139,,,,1.2515,2.04,,,,,,,,0.0717,,,,,,0.3684,3.7431,,,,0.9797,,0.9896,,,,,,,
04-Feb-01,,,3.0139,,,,1.2515,2.04,,,,,,,,0.0717,,,,,,0.3684,3.7431,,,,0.9797,,0.9896,,,,,,,
05-Feb-01,,,3.0139,,,,1.2515,2.04,,,,,,,,0.0717,,,,,,0.3684,3.7431,,,,0.9797,,0.9896,,,,,,,
06-Feb-01,,,3,,,,1.2444,2.04,,,,,,,,0.0717,,,,,,0.3684,3.7566,,,,0.9798,,0.9897,,,,,,,
07-Feb-01,,,2.9847,,,,1.2366,2.03,,,,,,,,0.0714,,,,,,0.3668,3.7248,,,,0.9712,,0.981,,,,,,,
08-Feb-01,,,2.9603,,,,1.2253,2.03,,,,,,,,0.0713,,,,,,0.3668,3.7132,,,,0.9851,,0.995,,,,,,,
09-Feb-01,,,2.972,,,,1.2368,2.065,,,,,,,,0.0718,,,,,,0.3703,3.766,,,,0.981,,0.9909,,,,,,,
