Date,BGN,DKK,EUR,GBP,ISK,YUM,NOK,PLN,ROL,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRL,JPY,IRR,ILS,SGD,KWD,CNY,HKD,RUB,AZM,BYR,EEK,TMM,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS,ATS,BEF,DEM,NLG,ITL,FIM,FRF,ESP,GRD,IEP,LUF,PTE
01-Jan-02,,0.2452,1.8228,2.9869,0.1989,,0.2286,,,,0.1953,1.2306,,2.0601,1.2957,1.0539,0.4498,1.44,0.157,,,1.114,6.7058,,,0.0681,0.4315,1.3,1.1623,,3.229,5.1503,,0.3664,,,3.8883,0.1372,,1.3247,4.5186,0.932,8.2715,0.9414,3.0657,2.7788,1.0955,0.5349,2.3145,4.5186,9.0921
02-Jan-02,,0.2452,1.8228,2.9869,0.1989,,0.2286,,,,0.1953,1.2306,,2.0601,1.2957,1.0539,0.4498,1.44,0.157,,,1.114,6.7058,,,0.0681,0.4315,1.3,1.1623,,3.229,5.1503,,0.3664,,,3.8883,0.1372,,1.3247,4.5186,0.932,8.2715,0.9414,3.0657,2.7788,1.0955,0.5349,2.3145,4.5186,9.0921
03-Jan-02,,0.2452,1.8228,2.9869,0.1989,,0.2286,,,,0.1953,1.2306,,2.0601,1.2957,1.0539,0.4498,1.44,0.157,,,1.114,6.7058,,,0.0681,0.4315,1.3,1.1623,,3.229,5.1503,,0.3664,,,3.8883,0.1372,,1.3247,4.5186,0.932,8.2715,0.9414,3.0657,2.7788,1.0955,0.5349,2.3145,4.5186,9.0921
04-Jan-02,,0.2452,1.8228,2.9869,0.1989,,0.2286,,,,0.1953,1.2306,,2.0601,1.2957,1.0539,0.4498,1.44,0.157,,,1.114,6.7058,,,0.0681,0.4315,1.3,1.1623,,3.229,5.1503,,0.3664,,,3.8883,0.1372,,1.3247,4.5186,0.932,8.2715,0.9414,3.0657,2.7788,1.0955,0.5349,2.3145,4.5186,9.0921
05-Jan-02,,0.2611,1.9409,3.1122,0.2133,,0.2427,,,,0.21,1.3119,,2.165,1.3567,1.1178,0.4748,1.53,0.1649,,,1.1724,7.0494,,,0.0709,0.453,1.34,1.2416,,3.4464,5.4117,,0.3849,,,4.0834,0.143,,1.4105,4.8114,0.9924,8.8074,1.0024,3.2644,2.9589,1.1665,0.5696,2.4644,4.8114,9.6812
06-Jan-02,,0.2611,1.9409,3.1122,0.2133,,0.2427,,,,0.21,1.3119,,2.165,1.3567,1.1178,0.4748,1.53,0.1649,,,1.1724,7.0494,,,0.0709,0.453,1.34,1.2416,,3.4464,5.4117,,0.3849,,,4.0834,0.143,,1.4105,4.8114,0.9924,8.8074,1.0024,3.2644,2.9589,1.1665,0.5696,2.4644,4.8114,9.6812
07-Jan-02,,0.2611,1.9409,3.1122,0.2133,,0.2427,,,,0.21,1.3119,,2.165,1.3567,1.1178,0.4748,1.53,0.1649,,,1.1724,7.0494,,,0.0709,0.453,1.34,1.2416,,3.4464,5.4117,,0.3849,,,4.0834,0.143,,1.4105,4.8114,0.9924,8.8074,1.0024,3.2644,2.9589,1.1665,0.5696,2.4644,4.8114,9.6812
08-Jan-02,,0.2611,1.9409,3.1122,0.2133,,0.2427,,,,0.21,1.3119,,2.165,1.3567,1.1178,0.4748,1.53,0.1649,,,1.1724,7.0494,,,0.0709,0.453,1.34,1.2416,,3.4464,5.4117,,0.3849,,,4.0834,0.143,,1.4105,4.8114,0.9924,8.8074,1.0024,3.2644,2.9589,1.1665,0.5696,2.4644,4.8114,9.6812
09-Jan-02,,0.2651,1.972,3.1896,0.2162,,0.2476,,,,0.2132,1.3405,,2.215,1.3831,1.152,0.4847,1.59,0.167,,,1.1974,7.2082,,,0.0724,0.4628,1.36,1.26,,3.507,5.5375,,0.3938,,,4.1697,0.1461,,1.4331,4.8885,1.0083,8.9485,1.0185,3.3167,3.0063,1.1852,0.5787,2.5039,4.8885,9.8363
10-Jan-02,,0.2666,1.9827,3.2036,0.2181,,0.2492,,,,0.2142,1.3417,,2.225,1.3958,1.1641,0.4923,1.6,0.1678,,,1.2045,7.241,,,0.0728,0.4649,1.37,1.2678,,3.5217,5.5639,,0.3956,,,4.1902,0.1468,,1.4409,4.915,1.0137,8.9971,1.024,3.3347,3.0226,1.1916,0.5819,2.5175,4.915,9.8897
