Date,BGN,DKK,EUR,GBP,ISK,YUM,NOK,PLN,ROL,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRL,JPY,IRR,ILS,SGD,KWD,CNY,HKD,RUB,AZM,BYR,EEK,TMM,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS
01-Jan-03,1.1633,0.3073,2.2816,3.5052,0.2689,3.6766,0.313,0.5673,0.6509,0.9683,0.2488,1.5696,0.0724,2.18,1.3839,1.2341,0.4729,1.3333,0.1836,0.2728,0.4605,1.2559,7.2798,0.2633,0.2795,0.0686,0.4455,1.1354,1.4588,0.4192,3.6887,6.5833,1.5772,0.3744,0.7267,2.2474,4.0889,0.1411,0.4729
02-Jan-03,1.1633,0.3073,2.2816,3.5052,0.2689,3.6766,0.313,0.5673,0.6509,0.9683,0.2488,1.5696,0.0724,2.18,1.3839,1.2341,0.4729,1.3333,0.1836,0.2728,0.4605,1.2559,7.2798,0.2633,0.2795,0.0686,0.4455,1.1354,1.4588,0.4192,3.6887,6.5833,1.5772,0.3744,0.7267,2.2474,4.0889,0.1411,0.4729
03-Jan-03,1.1633,0.3073,2.2816,3.5052,0.2689,3.6766,0.313,0.5673,0.6509,0.9683,0.2488,1.5696,0.0724,2.18,1.3839,1.2341,0.4729,1.3333,0.1836,0.2728,0.4605,1.2559,7.2798,0.2633,0.2795,0.0686,0.4455,1.1354,1.4588,0.4192,3.6887,6.5833,1.5772,0.3744,0.7267,2.2474,4.0889,0.1411,0.4729
04-Jan-03,1.1633,0.3073,2.2816,3.5052,0.2689,3.6766,0.313,0.5673,0.6509,0.9683,0.2488,1.5696,0.0724,2.18,1.3839,1.2341,0.4729,1.3333,0.1836,0.2728,0.4605,1.2559,7.2798,0.2633,0.2795,0.0686,0.4455,1.1354,1.4588,0.4192,3.6887,6.5833,1.5772,0.3744,0.7267,2.2474,4.0889,0.1411,0.4729
05-Jan-03,1.1633,0.3073,2.2816,3.5052,0.2689,3.6766,0.313,0.5673,0.6509,0.9683,0.2488,1.5696,0.0724,2.18,1.3839,1.2341,0.4729,1.3333,0.1836,0.2728,0.4605,1.2559,7.2798,0.2633,0.2795,0.0686,0.4455,1.1354,1.4588,0.4192,3.6887,6.5833,1.5772,0.3744,0.7267,2.2474,4.0889,0.1411,0.4729
06-Jan-03,1.1633,0.3073,2.2816,3.5052,0.2689,3.6766,0.313,0.5673,0.6509,0.9683,0.2488,1.5696,0.0724,2.18,1.3839,1.2341,0.4729,1.3333,0.1836,0.2728,0.4605,1.2559,7.2798,0.2633,0.2795,0.0686,0.4455,1.1354,1.4588,0.4192,3.6887,6.5833,1.5772,0.3744,0.7267,2.2474,4.0889,0.1411,0.4729
07-Jan-03,1.1691,0.3078,2.2853,3.5266,0.2707,3.7043,0.3161,0.5718,0.6541,0.9712,0.2518,1.5699,0.0727,2.185,1.4002,1.2455,0.4735,1.3179,0.1834,0.2741,0.4569,1.2576,7.2967,0.2639,0.2802,0.0687,0.4464,1.138,1.4615,0.4202,3.6909,6.5562,1.571,0.3753,0.7283,2.2524,4.0841,0.1415,0.4745
08-Jan-03,1.1691,0.3078,2.2853,3.5266,0.2707,3.7043,0.3161,0.5718,0.6541,0.9712,0.2518,1.5699,0.0727,2.185,1.4002,1.2455,0.4735,1.3179,0.1834,0.2741,0.4569,1.2576,7.2967,0.2639,0.2802,0.0687,0.4464,1.138,1.4615,0.4202,3.6909,6.5562,1.571,0.3753,0.7283,2.2524,4.0841,0.1415,0.4745
09-Jan-03,1.1736,0.3089,2.2941,3.5293,0.2721,3.7383,0.3177,0.5736,0.6543,0.9756,0.2533,1.5741,0.0733,2.205,1.4106,1.2659,0.4788,1.3094,0.1834,0.2766,0.4563,1.265,7.3544,0.2664,0.2827,0.0694,0.4504,1.1484,1.4661,0.424,3.7373,6.6622,1.5854,0.3787,0.735,2.273,4.1355,0.1428,0.4788
10-Jan-03,1.1898,0.3132,2.3265,3.5603,0.2741,3.7467,0.3223,0.5777,0.6577,0.9888,0.2558,1.5956,0.0738,2.21,1.4158,1.2752,0.4804,1.3261,0.1859,0.2773,0.458,1.2725,7.3841,0.267,0.2834,0.0693,0.4514,1.151,1.4874,0.425,3.7394,6.6647,1.589,0.3796,0.7367,2.2782,4.1432,0.1431,0.4799
11-Jan-03,1.1748,0.3128,2.3232,3.5538,0.2736,3.745,0.3209,0.5783,0.6555,0.9881,0.2543,1.5913,0.0735,2.209,1.426,1.2768,0.4792,1.3271,0.1847,0.2771,0.4595,1.2704,7.3766,0.2669,0.2832,0.0693,0.4512,1.1469,1.4851,0.4248,3.7568,6.742,1.5949,0.3794,0.7363,2.2771,4.1424,0.143,0.4797
12-Jan-03,1.1748,0.3128,2.3232,3.5538,0.2736,3.745,0.3209,0.5783,0.6555,0.9881,0.2543,1.5913,0.0735,2.209,1.426,1.2768,0.4792,1.3271,0.1847,0.2771,0.4595,1.2704,7.3766,0.2669,0.2832,0.0693,0.4512,1.1469,1.4851,0.4248,3.7568,6.742,1.5949,0.3794,0.7363,2.2771,4.1424,0.143,0.4797
13-Jan-03,1.1748,0.3128,2.3232,3.5538,0.2736,3.745,0.3209,0.5783,0.6555,0.9881,0.2543,1.5913,0.0735,2.209,1.426,1.2768,0.4792,1.3271,0.1847,0.2771,0.4595,1.2704,7.3766,0.2669,0.2832,0.0693,0.4512,1.1469,1.4851,0.4248,3.7568,6.742,1.5949,0.3794,0.7363,2.2771,4.1424,0.143,0.4797
14-Jan-03,1.1884,0.3125,2.3201,3.5343,0.2754,3.7485,0.3191,0.5775,0.6523,0.9893,0.2533,1.5899,0.0731,2.2,1.4259,1.2813,0.4783,1.3205,0.1845,0.2755,0.4569,1.266,7.35,0.2661,0.2821,0.0691,0.4493,1.1423,1.4842,0.4231,3.7511,6.7264,1.5806,0.3777,0.7333,2.2679,4.1256,0.1413,0.4778
15-Jan-03,1.1761,0.3104,2.306,3.4913,0.2748,3.7144,0.3138,0.5725,0.6475,0.9823,0.2514,1.5765,0.0726,2.18,1.4155,1.2762,0.4749,1.3109,0.1836,0.273,0.4502,1.2574,7.2839,0.2636,0.2795,0.0685,0.4452,1.1295,1.4745,0.4192,3.7189,6.6787,1.56,0.3743,0.7267,2.2472,4.0881,0.14,0.4699
16-Jan-03,1.1782,0.3084,2.2907,3.4895,0.2731,3.7144,0.3127,0.5723,0.6471,0.976,0.2498,1.5658,0.0722,2.18,1.4137,1.2731,0.4729,1.3034,0.1845,0.2732,0.4517,1.2568,7.2803,0.2634,0.2795,0.0685,0.4451,1.1289,1.4647,0.4192,3.7227,6.6382,1.56,0.3743,0.7267,2.2705,4.0881,0.14,0.4699
17-Jan-03,1.1785,0.3106,2.3063,3.5021,0.2739,3.723,0.3172,0.5771,0.6499,0.9849,0.2516,1.5788,0.0727,2.185,1.4233,1.2808,0.4771,1.3155,0.1852,0.2738,0.4527,1.2612,7.3011,0.2643,0.2802,0.0687,0.4461,1.1315,1.4751,0.4202,3.7427,6.6848,1.5592,0.3751,0.7283,2.2757,4.0974,0.1403,0.471
18-Jan-03,1.1902,0.3132,2.3262,3.5296,0.2762,3.7315,0.3197,0.5734,0.6489,0.9368,0.2536,1.5952,0.0743,2.19,1.4269,1.291,0.4771,1.3185,0.1857,0.2744,0.454,1.2636,7.3237,0.2646,0.2808,0.0688,0.447,1.3335,1.4897,0.4212,3.7603,6.743,1.5628,0.3769,0.73,2.2809,4.1066,0.1406,0.4721
19-Jan-03,1.1902,0.3132,2.3262,3.5296,0.2762,3.7315,0.3197,0.5734,0.6489,0.9368,0.2536,1.5952,0.0743,2.19,1.4269,1.291,0.4771,1.3185,0.1857,0.2744,0.454,1.2636,7.3237,0.2646,0.2808,0.0688,0.447,1.3335,1.4897,0.4212,3.7603,6.743,1.5628,0.3769,0.73,2.2809,4.1066,0.1406,0.4721
20-Jan-03,1.1902,0.3132,2.3262,3.5296,0.2762,3.7315,0.3197,0.5734,0.6489,0.9368,0.2536,1.5952,0.0743,2.19,1.4269,1.291,0.4771,1.3185,0.1857,0.2744,0.454,1.2636,7.3237,0.2646,0.2808,0.0688,0.447,1.3335,1.4897,0.4212,3.7603,6.743,1.5628,0.3769,0.73,2.2809,4.1066,0.1406,0.4721
21-Jan-03,1.1941,0.3139,2.3332,3.5266,0.2771,3.7502,0.3192,0.5749,0.6533,0.9546,0.2535,1.5973,0.0742,2.19,1.4254,1.2919,0.4771,1.3133,0.1854,0.2745,0.4525,1.2641,7.3274,0.2646,0.2808,0.0688,0.4468,1.1347,1.4927,0.4212,3.7372,6.741,1.5613,0.3763,0.73,2.2806,4.1069,0.141,0.4692
22-Jan-03,1.1894,0.3128,2.3237,3.5067,0.2758,3.7495,0.3168,0.5728,0.6531,0.9429,0.2531,1.5907,0.0744,2.185,1.4216,1.2852,0.474,1.3179,0.1835,0.274,0.4501,1.259,7.3057,0.264,0.2802,0.0687,0.4458,1.1321,1.4884,0.4202,3.735,6.7374,1.5567,0.3754,0.7283,2.2754,4.0964,0.1407,0.4681
23-Jan-03,1.197,0.3148,2.3401,3.5267,0.2753,3.7427,0.316,0.5723,0.6558,0.9439,0.2532,1.601,0.0747,2.186,1.4269,1.2865,0.4742,1.3129,0.1847,0.2743,0.4482,1.2615,7.3132,0.2641,0.2803,0.0687,0.446,1.1303,1.4882,0.4204,3.7304,6.7378,1.557,0.3756,0.7226,2.2764,4.0985,0.1407,0.4683
24-Jan-03,1.1995,0.3154,2.3447,3.544,0.2756,3.7682,0.3173,0.5654,0.6556,0.9401,0.2543,1.6026,0.0742,2.187,1.4292,1.2862,0.4739,1.3135,0.185,0.2745,0.4465,1.2626,7.3225,0.2642,0.2804,0.0688,0.4462,1.1308,1.495,0.4206,3.7513,6.7983,1.556,0.3756,0.723,2.2774,4.1003,0.1408,0.4685
25-Jan-03,1.2062,0.3175,2.358,3.5661,0.2771,3.7701,0.3159,0.5548,0.6572,0.9548,0.2551,1.6103,0.0749,2.187,1.4379,1.2965,0.4775,1.3191,0.1856,0.2743,0.4475,1.2636,7.3288,0.2642,0.2804,0.0687,0.4462,1.1285,1.5046,0.4206,3.7449,6.7951,1.5547,0.3745,0.723,2.2774,4.101,0.1408,0.4685
26-Jan-03,1.2062,0.3175,2.358,3.5661,0.2771,3.7701,0.3159,0.5548,0.6572,0.9548,0.2551,1.6103,0.0749,2.187,1.4379,1.2965,0.4775,1.3191,0.1856,0.2743,0.4475,1.2636,7.3288,0.2642,0.2804,0.0687,0.4462,1.1285,1.5046,0.4206,3.7449,6.7951,1.5547,0.3745,0.723,2.2774,4.101,0.1408,0.4685
27-Jan-03,1.2062,0.3175,2.358,3.5661,0.2771,3.7701,0.3159,0.5548,0.6572,0.9548,0.2551,1.6103,0.0749,2.187,1.4379,1.2965,0.4775,1.3191,0.1856,0.2743,0.4475,1.2636,7.3288,0.2642,0.2804,0.0687,0.4462,1.1285,1.5046,0.4206,3.7449,6.7951,1.5547,0.3745,0.723,2.2774,4.101,0.1408,0.4685
