Date,BGN,DKK,EUR,GBP,ISK,CSD,NOK,PLN,ROL,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRL,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,RUB,AZM,BYR,EEK,TMM,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS
01-Jan-04,1.3612,0.3576,2.6615,3.7602,0.2959,3.8618,0.3161,0.5658,0.6447,1.018,0.2932,1.7077,0.0817,2.11,1.6334,1.584,0.3414,1.5104,0.1973,,0.2542,0.4861,1.2412,7.1635,0.2549,0.2718,0.0716,0.4286,0.9759,1.7019,0.4058,3.9602,7.7128,1.6231,0.3728,0.7137,2.1544,3.9572,0.1474,0.4775
02-Jan-04,1.3612,0.3576,2.6615,3.7602,0.2959,3.8618,0.3161,0.5658,0.6447,1.018,0.2932,1.7077,0.0817,2.11,1.6334,1.584,0.3414,1.5104,0.1973,,0.2542,0.4861,1.2412,7.1635,0.2549,0.2718,0.0716,0.4286,0.9759,1.7019,0.4058,3.9602,7.7128,1.6231,0.3728,0.7137,2.1544,3.9572,0.1474,0.4775
03-Jan-04,1.3612,0.3576,2.6615,3.7602,0.2959,3.8618,0.3161,0.5658,0.6447,1.018,0.2932,1.7077,0.0817,2.11,1.6334,1.584,0.3414,1.5104,0.1973,,0.2542,0.4861,1.2412,7.1635,0.2549,0.2718,0.0716,0.4286,0.9759,1.7019,0.4058,3.9602,7.7128,1.6231,0.3728,0.7137,2.1544,3.9572,0.1474,0.4775
04-Jan-04,1.3612,0.3576,2.6615,3.7602,0.2959,3.8618,0.3161,0.5658,0.6447,1.018,0.2932,1.7077,0.0817,2.11,1.6334,1.584,0.3414,1.5104,0.1973,,0.2542,0.4861,1.2412,7.1635,0.2549,0.2718,0.0716,0.4286,0.9759,1.7019,0.4058,3.9602,7.7128,1.6231,0.3728,0.7137,2.1544,3.9572,0.1474,0.4775
05-Jan-04,1.3612,0.3576,2.6615,3.7602,0.2959,3.8618,0.3161,0.5658,0.6447,1.018,0.2932,1.7077,0.0817,2.11,1.6334,1.584,0.3414,1.5104,0.1973,,0.2542,0.4861,1.2412,7.1635,0.2549,0.2718,0.0716,0.4286,0.9759,1.7019,0.4058,3.9602,7.7128,1.6231,0.3728,0.7137,2.1544,3.9572,0.1474,0.4775
06-Jan-04,1.3612,0.3576,2.6615,3.7602,0.2959,3.8618,0.3161,0.5658,0.6447,1.018,0.2932,1.7077,0.0817,2.11,1.6334,1.584,0.3414,1.5104,0.1973,,0.2542,0.4861,1.2412,7.1635,0.2549,0.2718,0.0716,0.4286,0.9759,1.7019,0.4058,3.9602,7.7128,1.6231,0.3728,0.7137,2.1544,3.9572,0.1474,0.4775
07-Jan-04,1.3612,0.3576,2.6615,3.7602,0.2959,3.8618,0.3161,0.5658,0.6447,1.018,0.2932,1.7077,0.0817,2.11,1.6334,1.584,0.3414,1.5104,0.1973,,0.2542,0.4861,1.2412,7.1635,0.2549,0.2718,0.0716,0.4286,0.9759,1.7019,0.4058,3.9602,7.7128,1.6231,0.3728,0.7137,2.1544,3.9572,0.1474,0.4775
08-Jan-04,1.3653,0.3586,2.669,3.8098,0.301,3.8877,0.3149,0.5723,0.6455,1.0324,0.2941,1.7076,0.0825,2.1,1.6422,1.6195,0.3404,1.5419,0.1977,,0.2532,0.4805,1.2359,7.1281,0.2537,0.2705,0.0718,0.4265,0.9713,1.7073,0.4038,3.9608,7.7351,1.597,0.371,0.7104,2.1425,3.9389,0.1474,0.4786
09-Jan-04,1.3653,0.3586,2.669,3.8098,0.301,3.8877,0.3149,0.5723,0.6455,1.0324,0.2941,1.7076,0.0825,2.1,1.6422,1.6195,0.3404,1.5419,0.1977,,0.2532,0.4805,1.2359,7.1281,0.2537,0.2705,0.0718,0.4265,0.9713,1.7073,0.4038,3.9608,7.7351,1.597,0.371,0.7104,2.1425,3.9389,0.1474,0.4786
10-Jan-04,1.3658,0.3587,2.6704,3.8461,0.3017,3.9412,0.3101,0.5719,0.6477,1.0136,0.294,1.7028,0.0826,2.12,1.6419,1.6282,0.3439,1.5503,0.1998,,0.2555,0.4819,1.2507,7.1928,0.2561,0.2731,0.0728,0.4305,0.9806,1.7074,0.4077,3.9835,7.7361,1.6122,0.3725,0.7172,2.1629,3.9752,0.1491,0.4863
