Date,BGN,DKK,EUR,GBP,ISK,CSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,EEK,TMM,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS
01-Jan-08,1.1974,0.3141,2.342,3.1786,0.2551,2.9624,0.294,0.6527,0.6512,0.9259,0.2486,1.4134,0.0882,1.5916,1.6266,1.4012,0.2889,1.3691,0.1421,0.4334,0.1706,0.4136,1.1076,5.8283,0.2179,0.204,0.0404,1.2349,0.0648,1.8827,0.7403,1.4978,0.3061,3.2884,6.7521,1.4092,0.5232,0.4593,1.2338,3.1548,0.1323,0.4484
02-Jan-08,1.1974,0.3141,2.342,3.1786,0.2551,2.9624,0.294,0.6527,0.6512,0.9259,0.2486,1.4134,0.0882,1.5916,1.6266,1.4012,0.2889,1.3691,0.1421,0.4334,0.1706,0.4136,1.1076,5.8283,0.2179,0.204,0.0404,1.2349,0.0648,1.8827,0.7403,1.4978,0.3061,3.2884,6.7521,1.4092,0.5232,0.4593,1.2338,3.1548,0.1323,0.4484
03-Jan-08,1.1974,0.3141,2.342,3.1786,0.2551,2.9624,0.294,0.6527,0.6512,0.9259,0.2486,1.4134,0.0882,1.5916,1.6266,1.4012,0.2889,1.3691,0.1421,0.4334,0.1706,0.4136,1.1076,5.8283,0.2179,0.204,0.0404,1.2349,0.0648,1.8827,0.7403,1.4978,0.3061,3.2884,6.7521,1.4092,0.5232,0.4593,1.2338,3.1548,0.1323,0.4484
04-Jan-08,1.1974,0.3141,2.342,3.1786,0.2551,2.9624,0.294,0.6527,0.6512,0.9259,0.2486,1.4134,0.0882,1.5916,1.6266,1.4012,0.2889,1.3691,0.1421,0.4334,0.1706,0.4136,1.1076,5.8283,0.2179,0.204,0.0404,1.2349,0.0648,1.8827,0.7403,1.4978,0.3061,3.2884,6.7521,1.4092,0.5232,0.4593,1.2338,3.1548,0.1323,0.4484
05-Jan-08,1.1983,0.3146,2.343,3.1388,0.258,2.8718,0.2974,0.651,0.6524,0.9261,0.2504,1.4315,0.0896,1.5925,1.6177,1.4035,0.2899,1.3693,0.1456,0.4336,0.1707,0.4192,1.1111,5.8295,0.2189,0.2042,0.0405,1.2296,0.0649,1.8837,0.7407,1.4983,0.3063,3.3316,6.7893,1.4102,0.5235,0.4596,1.2333,3.1566,0.1323,0.4486
06-Jan-08,1.1983,0.3146,2.343,3.1388,0.258,2.8718,0.2974,0.651,0.6524,0.9261,0.2504,1.4315,0.0896,1.5925,1.6177,1.4035,0.2899,1.3693,0.1456,0.4336,0.1707,0.4192,1.1111,5.8295,0.2189,0.2042,0.0405,1.2296,0.0649,1.8837,0.7407,1.4983,0.3063,3.3316,6.7893,1.4102,0.5235,0.4596,1.2333,3.1566,0.1323,0.4486
07-Jan-08,1.1983,0.3146,2.343,3.1388,0.258,2.8718,0.2974,0.651,0.6524,0.9261,0.2504,1.4315,0.0896,1.5925,1.6177,1.4035,0.2899,1.3693,0.1456,0.4336,0.1707,0.4192,1.1111,5.8295,0.2189,0.2042,0.0405,1.2296,0.0649,1.8837,0.7407,1.4983,0.3063,3.3316,6.7893,1.4102,0.5235,0.4596,1.2333,3.1566,0.1323,0.4486
08-Jan-08,1.1983,0.3146,2.343,3.1388,0.258,2.8718,0.2974,0.651,0.6524,0.9261,0.2504,1.4315,0.0896,1.5925,1.6177,1.4035,0.2899,1.3693,0.1456,0.4336,0.1707,0.4192,1.1111,5.8295,0.2189,0.2042,0.0405,1.2296,0.0649,1.8837,0.7407,1.4983,0.3063,3.3316,6.7893,1.4102,0.5235,0.4596,1.2333,3.1566,0.1323,0.4486
09-Jan-08,1.1986,0.3148,2.3436,3.1576,0.2564,2.8504,0.2972,0.6514,0.6539,0.9205,0.2502,1.4268,0.0899,1.593,1.5916,1.4002,0.2914,1.3729,0.1454,0.4338,0.172,0.4182,1.113,5.8345,0.2192,0.2041,0.0406,1.2285,0.0649,1.8845,0.7409,1.4982,0.3063,3.3396,6.7663,1.4107,0.5217,0.4597,1.2337,3.1576,0.1323,0.4487
10-Jan-08,1.1989,0.3149,2.344,3.1354,0.2565,2.8434,0.2965,0.6527,0.6459,0.9221,0.2492,1.432,0.0902,1.5935,1.5881,1.4051,0.2913,1.3767,0.1455,0.4339,0.172,0.4203,1.1142,5.831,0.2195,0.2042,0.0406,1.2268,0.0652,1.8851,0.7412,1.4991,0.3064,3.3337,6.7892,1.4164,0.521,0.4598,1.2334,3.1617,0.1321,0.4489
11-Jan-08,1.1957,0.314,2.3385,3.1185,0.2517,2.8338,0.2971,0.6513,0.6363,0.9199,0.2485,1.429,0.0905,1.5935,1.5763,1.4056,0.292,1.3761,0.1452,0.4339,0.172,0.4212,1.1132,5.8349,0.2192,0.2042,0.0406,1.2321,0.0651,1.8851,0.7412,1.4948,0.3064,3.3407,6.7962,1.4228,0.5189,0.4598,1.2334,3.1554,0.1321,0.4489
12-Jan-08,1.201,0.3155,2.3485,3.1035,0.2542,2.8541,0.3004,0.6561,0.6414,0.927,0.2505,1.4416,0.0909,1.5895,1.5727,1.4232,0.2913,1.3836,0.1458,0.4328,0.1716,0.4216,1.111,5.8202,0.2189,0.2037,0.0405,1.2452,0.0652,1.8804,0.7393,1.5018,0.3057,3.3253,6.7546,1.4281,0.5175,0.4586,1.2303,3.1463,0.1317,0.4478
13-Jan-08,1.201,0.3155,2.3485,3.1035,0.2542,2.8541,0.3004,0.6561,0.6414,0.927,0.2505,1.4416,0.0909,1.5895,1.5727,1.4232,0.2913,1.3836,0.1458,0.4328,0.1716,0.4216,1.111,5.8202,0.2189,0.2037,0.0405,1.2452,0.0652,1.8804,0.7393,1.5018,0.3057,3.3253,6.7546,1.4281,0.5175,0.4586,1.2303,3.1463,0.1317,0.4478
14-Jan-08,1.201,0.3155,2.3485,3.1035,0.2542,2.8541,0.3004,0.6561,0.6414,0.927,0.2505,1.4416,0.0909,1.5895,1.5727,1.4232,0.2913,1.3836,0.1458,0.4328,0.1716,0.4216,1.111,5.8202,0.2189,0.2037,0.0405,1.2452,0.0652,1.8804,0.7393,1.5018,0.3057,3.3253,6.7546,1.4281,0.5175,0.4586,1.2303,3.1463,0.1317,0.4478
15-Jan-08,1.2088,0.3176,2.364,3.121,0.2529,2.8717,0.302,0.6608,0.6393,0.9337,0.2509,1.4545,0.0915,1.5901,1.5626,1.4238,0.2922,1.3821,0.1473,0.433,0.1717,0.4227,1.1123,5.8307,0.2193,0.2037,0.0405,1.2514,0.0655,1.8811,0.7396,1.511,0.3058,3.3476,6.8163,1.4338,0.5166,0.4587,1.2308,3.1487,0.1318,0.4451
16-Jan-08,1.2098,0.3178,2.366,3.1181,0.2489,2.8954,0.3023,0.663,0.6415,0.9349,0.2524,1.4581,0.0914,1.592,1.5646,1.4336,0.292,1.3869,0.1482,0.4335,0.1719,0.4309,1.1141,5.839,0.2198,0.2042,0.0406,1.2596,0.0656,1.8831,0.7405,1.5129,0.3062,3.3658,6.8609,1.4342,0.5159,0.4593,1.2322,3.1525,0.132,0.4456
17-Jan-08,1.2084,0.3175,2.3633,3.1263,0.248,2.9256,0.2982,0.6584,0.6393,0.9279,0.2505,1.4649,0.0912,1.594,1.5618,1.4054,0.2924,1.3671,0.15,0.434,0.1728,0.4292,1.1158,5.8448,0.2203,0.2044,0.0406,1.2368,0.0655,1.8855,0.7414,1.5107,0.3065,3.37,6.8624,1.4232,0.5167,0.4598,1.2333,3.1508,0.1324,0.4462
18-Jan-08,1.1907,0.3127,2.3282,3.1332,0.2431,2.8737,0.2931,0.6477,0.6359,0.9128,0.2472,1.4394,0.0891,1.5941,1.5618,1.4068,0.292,1.3578,0.1479,0.4341,0.1729,0.4267,1.1135,5.8478,0.22,0.2042,0.0406,1.2316,0.0651,1.8858,0.7414,1.4882,0.3066,3.3702,6.8434,1.4195,0.5164,0.4598,1.2334,3.1501,0.1326,0.4462
19-Jan-08,1.1939,0.3133,2.3344,3.137,0.2448,2.8651,0.2918,0.6456,0.632,0.9125,0.2475,1.4455,0.0891,1.5941,1.552,1.4006,0.2909,1.3464,0.1488,0.434,0.1729,0.4224,1.111,5.8394,0.22,0.2042,0.0406,1.2211,0.065,1.8858,0.7414,1.4924,0.3066,3.328,6.7613,1.417,0.5189,0.4598,1.2334,3.147,0.1328,0.4462
20-Jan-08,1.1939,0.3133,2.3344,3.137,0.2448,2.8651,0.2918,0.6456,0.632,0.9125,0.2475,1.4455,0.0891,1.5941,1.552,1.4006,0.2909,1.3464,0.1488,0.434,0.1729,0.4224,1.111,5.8394,0.22,0.2042,0.0406,1.2211,0.065,1.8858,0.7414,1.4924,0.3066,3.328,6.7613,1.417,0.5189,0.4598,1.2334,3.147,0.1328,0.4462
21-Jan-08,1.1939,0.3133,2.3344,3.137,0.2448,2.8651,0.2918,0.6456,0.632,0.9125,0.2475,1.4455,0.0891,1.5941,1.552,1.4006,0.2909,1.3464,0.1488,0.434,0.1729,0.4224,1.111,5.8394,0.22,0.2042,0.0406,1.2211,0.065,1.8858,0.7414,1.4924,0.3066,3.328,6.7613,1.417,0.5189,0.4598,1.2334,3.147,0.1328,0.4462
22-Jan-08,1.183,0.3105,2.3135,3.1072,0.2453,2.8457,0.289,0.6355,0.6227,0.8965,0.2444,1.4439,0.0881,1.5941,1.5472,1.3888,0.2885,1.3268,0.1502,0.434,0.1728,0.4205,1.1055,5.8345,0.2203,0.2041,0.0404,1.2024,0.0647,1.8858,0.7414,1.4789,0.3066,3.321,6.7538,1.4151,0.5207,0.4598,1.2334,3.1548,0.1326,0.4431
23-Jan-08,1.1765,0.3091,2.3014,3.1088,0.2386,2.8655,0.2854,0.6291,0.6106,0.8846,0.2417,1.44,0.0877,1.5941,1.5421,1.366,0.288,1.2897,0.1501,0.434,0.1728,0.4173,1.0991,5.8311,0.2203,0.2041,0.0402,1.1886,0.064,1.8856,0.7414,1.4707,0.3066,3.3004,6.7106,1.4145,0.5213,0.4598,1.2326,3.1598,0.1323,0.4431
24-Jan-08,1.1926,0.3131,2.332,3.123,0.2427,2.8883,0.2898,0.6448,0.6225,0.9073,0.2458,1.4584,0.0897,1.595,1.5549,1.3851,0.2887,1.3353,0.1504,0.4343,0.1716,0.4296,1.1119,5.8448,0.2206,0.2043,0.0403,1.2194,0.0648,1.8867,0.7419,1.4906,0.3067,3.2752,6.6428,1.4121,0.5216,0.46,1.2333,3.1472,0.1326,0.4434
25-Jan-08,1.1922,0.3128,2.3311,3.118,0.2389,2.8497,0.29,0.6436,0.6208,0.9041,0.2458,1.4651,0.0899,1.5949,1.5669,1.3911,0.2881,1.333,0.1505,0.4343,0.1711,0.4316,1.1139,5.8449,0.2208,0.2043,0.0404,1.2195,0.0647,1.8866,0.7418,1.4902,0.3067,3.3227,6.6424,1.4145,0.5197,0.46,1.2332,3.1451,0.1326,0.4433
26-Jan-08,1.1993,0.3148,2.3455,3.1543,0.2431,2.8377,0.2933,0.6497,0.6246,0.9144,0.2483,1.4559,0.0909,1.591,1.5826,1.406,0.288,1.3504,0.1476,0.4338,0.1703,0.431,1.1195,5.8336,0.2208,0.2038,0.0404,1.2289,0.0651,1.8817,0.74,1.4993,0.306,3.3077,6.7241,1.413,0.5182,0.4589,1.2302,3.1387,0.1323,0.4423
27-Jan-08,1.1993,0.3148,2.3455,3.1543,0.2431,2.8377,0.2933,0.6497,0.6246,0.9144,0.2483,1.4559,0.0909,1.591,1.5826,1.406,0.288,1.3504,0.1476,0.4338,0.1703,0.431,1.1195,5.8336,0.2208,0.2038,0.0404,1.2289,0.0651,1.8817,0.74,1.4993,0.306,3.3077,6.7241,1.413,0.5182,0.4589,1.2302,3.1387,0.1323,0.4423
