Date,BGN,DKK,EUR,GBP,ISK,RSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,EEK,TMT,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS
01-Jan-10,1.241,3.2773,2.4383,2.734,1.3549,2.537,2.9398,5.9469,5.7631,0.9014,2.3769,1.6439,0.9225,1.6929,1.6151,1.5233,3.0867,1.1327,1.8325,4.609,1.7143,4.4916,1.2078,5.9085,2.4801,2.1832,3.6395,1.2318,5.6084,2.108,5.9213,1.5581,5.94,3.462,7.0661,1.3762,4.4799,3.8727,1.1201,2.1201,1.1411,3.8395
02-Jan-10,1.241,3.2773,2.4383,2.734,1.3549,2.537,2.9398,5.9469,5.7631,0.9014,2.3769,1.6439,0.9225,1.6929,1.6151,1.5233,3.0867,1.1327,1.8325,4.609,1.7143,4.4916,1.2078,5.9085,2.4801,2.1832,3.6395,1.2318,5.6084,2.108,5.9213,1.5581,5.94,3.462,7.0661,1.3762,4.4799,3.8727,1.1201,2.1201,1.1411,3.8395
03-Jan-10,1.241,3.2773,2.4383,2.734,1.3549,2.537,2.9398,5.9469,5.7631,0.9014,2.3769,1.6439,0.9225,1.6929,1.6151,1.5233,3.0867,1.1327,1.8325,4.609,1.7143,4.4916,1.2078,5.9085,2.4801,2.1832,3.6395,1.2318,5.6084,2.108,5.9213,1.5581,5.94,3.462,7.0661,1.3762,4.4799,3.8727,1.1201,2.1201,1.1411,3.8395
04-Jan-10,1.241,3.2773,2.4383,2.734,1.3549,2.537,2.9398,5.9469,5.7631,0.9014,2.3769,1.6439,0.9225,1.6929,1.6151,1.5233,3.0867,1.1327,1.8325,4.609,1.7143,4.4916,1.2078,5.9085,2.4801,2.1832,3.6395,1.2318,5.6084,2.108,5.9213,1.5581,5.94,3.462,7.0661,1.3762,4.4799,3.8727,1.1201,2.1201,1.1411,3.8395
05-Jan-10,1.2452,3.2817,2.4412,2.749,1.3569,2.5328,2.9543,5.9751,5.7805,0.9092,2.3968,1.6423,0.9277,1.6986,1.6328,1.536,3.103,1.1401,1.8296,4.6247,1.7198,4.5104,1.2148,5.9259,2.4882,2.1897,3.6671,1.2369,5.6273,2.1151,5.9412,1.5626,5.96,3.4665,7.0365,1.3808,4.495,3.8857,1.1222,2.1272,1.1441,3.8524
06-Jan-10,1.2516,3.2989,2.4545,2.7251,1.3678,2.5454,2.9865,6.003,5.8394,0.9127,2.4083,1.6537,0.9366,1.7013,1.6393,1.5567,3.1131,1.1526,1.8513,4.632,1.7228,4.5477,1.2198,5.9382,2.492,2.1936,3.6841,1.2518,5.6362,2.1189,5.9507,1.5693,5.9695,3.465,7.1211,1.383,4.5021,3.8918,1.124,2.1306,1.146,3.8585
07-Jan-10,1.255,3.2811,2.4413,2.7194,1.3616,2.5155,2.9772,5.9623,5.87,0.9057,2.3945,1.6458,0.9274,1.6996,1.6382,1.5534,3.1162,1.1503,1.8404,4.6274,1.722,4.5468,1.2182,5.922,2.4895,2.1916,3.698,1.2456,5.6306,2.1166,5.9385,1.5617,5.9635,3.4971,7.054,1.3816,4.4976,3.8877,1.1229,2.1285,1.1453,3.8547
08-Jan-10,1.255,3.2811,2.4413,2.7194,1.3616,2.5155,2.9772,5.9623,5.87,0.9057,2.3945,1.6458,0.9274,1.6996,1.6382,1.5534,3.1162,1.1503,1.8404,4.6274,1.722,4.5468,1.2182,5.922,2.4895,2.1916,3.698,1.2456,5.6306,2.1166,5.9385,1.5617,5.9635,3.4971,7.054,1.3816,4.4976,3.8877,1.1229,2.1285,1.1453,3.8547
09-Jan-10,1.2431,3.267,2.4306,2.7222,1.3473,2.5023,2.9725,5.9153,5.8441,0.9034,2.3802,1.6416,0.9234,1.6997,1.644,1.5557,3.1181,1.1574,1.8231,4.6277,1.723,4.5777,1.216,5.9213,2.49,2.1915,3.7099,1.2432,5.6309,2.1164,5.9389,1.5562,5.9639,3.4759,7.048,1.3817,4.4979,3.8881,1.123,2.1286,1.1467,3.8549
10-Jan-10,1.2431,3.267,2.4306,2.7222,1.3473,2.5023,2.9725,5.9153,5.8441,0.9034,2.3802,1.6416,0.9234,1.6997,1.644,1.5557,3.1181,1.1574,1.8231,4.6277,1.723,4.5777,1.216,5.9213,2.49,2.1915,3.7099,1.2432,5.6309,2.1164,5.9389,1.5562,5.9639,3.4759,7.048,1.3817,4.4979,3.8881,1.123,2.1286,1.1467,3.8549
11-Jan-10,1.2431,3.267,2.4306,2.7222,1.3473,2.5023,2.9725,5.9153,5.8441,0.9034,2.3802,1.6416,0.9234,1.6997,1.644,1.5557,3.1181,1.1574,1.8231,4.6277,1.723,4.5777,1.216,5.9213,2.49,2.1915,3.7099,1.2432,5.6309,2.1164,5.9389,1.5562,5.9639,3.4759,7.048,1.3817,4.4979,3.8881,1.123,2.1286,1.1467,3.8549
12-Jan-10,1.241,3.3204,2.4703,2.7492,1.3729,2.5337,3.0325,6.0905,5.9645,0.9262,2.4234,1.6737,0.9436,1.7006,1.6556,1.5844,3.1229,1.1682,1.8389,4.63,1.7239,4.6149,1.226,5.943,2.4912,2.193,3.7537,1.26,5.7788,2.1181,6.0049,1.5782,5.967,3.4635,7.1361,1.3807,4.5003,3.8905,1.1211,2.1297,1.1477,3.8546
13-Jan-10,1.2645,3.3188,2.4688,2.748,1.3705,2.5361,3.0244,6.0558,5.9792,0.9242,2.4162,1.6731,0.9424,1.7024,1.6495,1.5776,3.1281,1.1719,1.8583,4.635,1.7266,4.6223,1.226,5.95,2.4937,2.1953,3.7366,1.2628,5.7949,2.1203,6.0113,1.5768,5.9733,3.5174,7.1523,1.3835,4.5012,3.8944,1.1223,2.1305,1.1491,3.8527
