Date,BGN,DKK,EUR,GBP,ISK,RSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,TMT,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS,ZAR,BRL
01-Jan-11,1.2042,3.1811,2.3708,2.7466,1.5462,2.2371,3.0342,5.9947,5.5377,0.8522,2.6449,1.8953,0.9467,1.7736,1.777,1.8048,3.0564,1.1515,2.1807,4.8289,1.7211,5.0117,1.3835,6.3117,2.6844,2.2819,3.9673,1.3768,5.8437,2.2228,5.912,6.2232,3.3151,6.8648,1.4593,4.88,4.0281,1.0815,2.2277,1.2033,3.7637,,
02-Jan-11,1.2042,3.1811,2.3708,2.7466,1.5462,2.2371,3.0342,5.9947,5.5377,0.8522,2.6449,1.8953,0.9467,1.7736,1.777,1.8048,3.0564,1.1515,2.1807,4.8289,1.7211,5.0117,1.3835,6.3117,2.6844,2.2819,3.9673,1.3768,5.8437,2.2228,5.912,6.2232,3.3151,6.8648,1.4593,4.88,4.0281,1.0815,2.2277,1.2033,3.7637,,
03-Jan-11,1.2042,3.1811,2.3708,2.7466,1.5462,2.2371,3.0342,5.9947,5.5377,0.8522,2.6449,1.8953,0.9467,1.7736,1.777,1.8048,3.0564,1.1515,2.1807,4.8289,1.7211,5.0117,1.3835,6.3117,2.6844,2.2819,3.9673,1.3768,5.8437,2.2228,5.912,6.2232,3.3151,6.8648,1.4593,4.88,4.0281,1.0815,2.2277,1.2033,3.7637,,
04-Jan-11,1.2042,3.1703,2.3623,2.7429,1.5409,2.2371,3.0352,5.9729,5.5371,0.848,2.6378,1.8949,0.9447,1.7736,1.7856,1.81,3.0574,1.1418,2.1781,4.829,1.7293,5.0089,1.3814,6.3433,2.6844,2.2823,3.9682,1.3793,5.8437,2.2228,5.914,6.2232,3.3401,6.8181,1.458,4.88,4.0283,1.0815,2.2277,1.2024,3.7616,,
05-Jan-11,1.2103,3.1879,2.3756,2.7725,1.5501,2.2321,3.0365,6.0247,5.5709,0.8588,2.6486,1.8805,0.9548,1.7735,1.7842,1.7902,3.0599,1.143,2.1581,4.8289,1.7219,5.0271,1.38,6.3181,2.6831,2.2826,3.9446,1.3636,5.8434,2.2227,5.9097,6.2228,3.3526,6.8591,1.4555,4.8798,4.028,1.081,2.2275,1.2024,3.7614,,
06-Jan-11,1.2171,3.1523,2.3489,2.7661,1.5339,2.2104,3.009,6.0191,5.5029,0.8478,2.6311,1.8645,0.9455,1.7737,1.7741,1.776,3.0606,1.1473,2.1604,4.8293,1.7212,5.0246,1.3758,6.3256,2.6799,2.2823,3.9206,1.3551,5.8441,2.2235,5.9084,6.2235,3.3657,6.8151,1.4552,4.8803,4.0287,1.0812,2.2278,1.2025,3.7618,,
07-Jan-11,1.1986,3.1177,2.323,2.7456,1.5215,2.1902,2.9967,6.0159,5.4561,0.8408,2.6097,1.8295,0.938,1.7741,1.7841,1.769,3.0593,1.1454,2.1336,4.8304,1.7224,4.9906,1.37,6.3135,2.6779,2.282,3.9148,1.3433,5.8454,2.224,5.8999,6.2249,3.3537,6.7377,1.4506,4.8814,4.0291,1.0814,2.229,1.2055,3.7611,,
08-Jan-11,1.1986,3.1177,2.323,2.7456,1.5215,2.1902,2.9967,6.0159,5.4561,0.8408,2.6097,1.8295,0.938,1.7741,1.7841,1.769,3.0593,1.1454,2.1336,4.8304,1.7224,4.9906,1.37,6.3135,2.6779,2.282,3.9148,1.3433,5.8454,2.224,5.8999,6.2249,3.3537,6.7377,1.4506,4.8814,4.0291,1.0814,2.229,1.2055,3.7611,,
09-Jan-11,1.1986,3.1177,2.323,2.7456,1.5215,2.1902,2.9967,6.0159,5.4561,0.8408,2.6097,1.8295,0.938,1.7741,1.7841,1.769,3.0593,1.1454,2.1336,4.8304,1.7224,4.9906,1.37,6.3135,2.6779,2.282,3.9148,1.3433,5.8454,2.224,5.8999,6.2249,3.3537,6.7377,1.4506,4.8814,4.0291,1.0814,2.229,1.2055,3.7611,,
10-Jan-11,1.1986,3.1177,2.323,2.7456,1.5215,2.1902,2.9967,6.0159,5.4561,0.8408,2.6097,1.8295,0.938,1.7741,1.7841,1.769,3.0593,1.1454,2.1336,4.8304,1.7224,4.9906,1.37,6.3135,2.6779,2.282,3.9148,1.3433,5.8454,2.224,5.8999,6.2249,3.3537,6.7377,1.4506,4.8814,4.0291,1.0814,2.229,1.2055,3.7611,,
