Date,BGN,DKK,EUR,GBP,ISK,RSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,TMT,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS,ZAR,BRL,QAR,KRW
01-Jan-13,1.1163,2.9284,2.1845,2.6791,1.2922,1.9219,2.9664,5.3446,4.9283,0.7469,2.543,1.8095,0.8701,1.6562,1.6649,1.7186,2.6276,0.9265,1.924,4.5092,1.3743,4.4436,1.3564,5.896,2.6585,2.1369,3.0234,1.3616,5.4529,2.1098,1.9326,5.8112,3.119,6.3272,1.3729,4.1038,3.4762,0.8342,2.0721,1.0987,3.4951,1.9501,0.8092,4.5515,1.5566
02-Jan-13,1.1163,2.9284,2.1845,2.6791,1.2922,1.9219,2.9664,5.3446,4.9283,0.7469,2.543,1.8095,0.8701,1.6562,1.6649,1.7186,2.6276,0.9265,1.924,4.5092,1.3743,4.4436,1.3564,5.896,2.6585,2.1369,3.0234,1.3616,5.4529,2.1098,1.9326,5.8112,3.119,6.3272,1.3729,4.1038,3.4762,0.8342,2.0721,1.0987,3.4951,1.9501,0.8092,4.5515,1.5566
03-Jan-13,1.1163,2.9284,2.1845,2.6791,1.2922,1.9219,2.9664,5.3446,4.9283,0.7469,2.543,1.8095,0.8701,1.6562,1.6649,1.7186,2.6276,0.9265,1.924,4.5092,1.3743,4.4436,1.3564,5.896,2.6585,2.1369,3.0234,1.3616,5.4529,2.1098,1.9326,5.8112,3.119,6.3272,1.3729,4.1038,3.4762,0.8342,2.0721,1.0987,3.4951,1.9501,0.8092,4.5515,1.5566
04-Jan-13,1.1231,2.9079,2.1691,2.6806,1.2879,1.9374,2.9738,5.3131,4.9166,0.7441,2.5402,1.7953,0.8586,1.6563,1.6802,1.7393,2.5912,0.9297,1.9055,4.5096,1.3638,4.4337,1.3551,5.8797,2.6579,2.1369,3.0363,1.3802,5.4533,2.1099,1.9327,5.8116,3.0959,6.3016,1.3712,4.104,3.4771,0.8342,2.0722,1.0988,3.4953,1.9307,0.8098,4.5509,1.5604
05-Jan-13,1.1103,2.8917,2.1568,2.6568,1.2798,1.9243,2.9575,5.2385,4.8763,0.7409,2.5288,1.7835,0.8513,1.6574,1.6714,1.7245,2.5813,0.9267,1.8785,4.5125,1.3641,4.3917,1.3476,5.8794,2.6602,2.1383,3.0069,1.3622,5.4569,2.1113,1.9205,5.8154,3.075,6.2451,1.3702,4.1067,3.48,0.8348,2.0736,1.1022,3.4976,1.9158,0.8103,4.5568,1.5584
06-Jan-13,1.1103,2.8917,2.1568,2.6568,1.2798,1.9243,2.9575,5.2385,4.8763,0.7409,2.5288,1.7835,0.8513,1.6574,1.6714,1.7245,2.5813,0.9267,1.8785,4.5125,1.3641,4.3917,1.3476,5.8794,2.6602,2.1383,3.0069,1.3622,5.4569,2.1113,1.9205,5.8154,3.075,6.2451,1.3702,4.1067,3.48,0.8348,2.0736,1.1022,3.4976,1.9158,0.8103,4.5568,1.5584
07-Jan-13,1.1103,2.8917,2.1568,2.6568,1.2798,1.9243,2.9575,5.2385,4.8763,0.7409,2.5288,1.7835,0.8513,1.6574,1.6714,1.7245,2.5813,0.9267,1.8785,4.5125,1.3641,4.3917,1.3476,5.8794,2.6602,2.1383,3.0069,1.3622,5.4569,2.1113,1.9205,5.8154,3.075,6.2451,1.3702,4.1067,3.48,0.8348,2.0736,1.1022,3.4976,1.9158,0.8103,4.5568,1.5584
08-Jan-13,1.1103,2.8917,2.1568,2.6568,1.2798,1.9243,2.9575,5.2385,4.8763,0.7409,2.5288,1.7835,0.8513,1.6574,1.6714,1.7245,2.5813,0.9267,1.8785,4.5125,1.3641,4.3917,1.3476,5.8794,2.6602,2.1383,3.0069,1.3622,5.4569,2.1113,1.9205,5.8154,3.075,6.2451,1.3702,4.1067,3.48,0.8348,2.0736,1.1022,3.4976,1.9158,0.8103,4.5568,1.5584
09-Jan-13,1.1065,2.9193,2.1775,2.6703,1.2904,1.9397,2.9715,5.2805,4.9387,0.7458,2.5399,1.8009,0.8538,1.6597,1.685,1.7427,2.5715,0.9331,1.8975,4.5189,1.3822,4.4025,1.3519,5.8896,2.6668,2.1411,3.0135,1.3868,5.4644,2.1148,1.9276,5.8235,3.0965,6.3044,1.3721,4.1124,3.4851,0.8359,2.0764,1.1021,3.5011,1.9351,0.8187,4.56,1.5616
10-Jan-13,1.1093,2.9045,2.1667,2.6626,1.2833,1.9339,2.9583,5.2638,4.9165,0.7437,2.5228,1.7922,0.8496,1.658,1.679,1.7414,2.5579,0.9329,1.8957,4.5143,1.3672,4.3886,1.3507,5.8857,2.6634,2.1389,3.0228,1.3872,5.4501,2.1126,1.9168,5.8175,3.0875,6.2786,1.3698,4.1053,3.4816,0.835,2.0743,1.1009,3.4961,1.9289,0.8123,4.5557,1.5619
11-Jan-13,1.1069,2.9122,2.1726,2.6614,1.2834,1.9333,2.9729,5.3187,4.9685,0.747,2.5334,1.7972,0.8477,1.6581,1.6823,1.7536,2.5436,0.9345,1.8821,4.5144,1.3725,4.3941,1.3534,5.884,2.6641,2.1391,3.0338,1.4001,5.4606,2.1128,1.9147,5.8179,3.0763,6.2743,1.3661,4.0839,3.4817,0.8351,2.0744,1.1003,3.4959,1.9245,0.8126,4.5552,1.564
12-Jan-13,1.1118,2.9481,2.1994,2.6714,1.2914,1.9638,2.9915,5.3578,5.0194,0.7424,2.548,1.8085,0.8556,1.6582,1.6858,1.7507,2.5342,0.9351,1.865,4.5146,1.3902,4.4274,1.3536,5.8864,2.6681,2.139,3.027,1.3919,5.481,2.1129,1.9148,5.8182,3.1287,6.373,1.3605,4.0695,3.4824,0.8351,2.0746,1.0987,3.498,1.9044,0.8174,4.5554,1.5725
13-Jan-13,1.1118,2.9481,2.1994,2.6714,1.2914,1.9638,2.9915,5.3578,5.0194,0.7424,2.548,1.8085,0.8556,1.6582,1.6858,1.7507,2.5342,0.9351,1.865,4.5146,1.3902,4.4274,1.3536,5.8864,2.6681,2.139,3.027,1.3919,5.481,2.1129,1.9148,5.8182,3.1287,6.373,1.3605,4.0695,3.4824,0.8351,2.0746,1.0987,3.498,1.9044,0.8174,4.5554,1.5725
14-Jan-13,1.1118,2.9481,2.1994,2.6714,1.2914,1.9638,2.9915,5.3578,5.0194,0.7424,2.548,1.8085,0.8556,1.6582,1.6858,1.7507,2.5342,0.9351,1.865,4.5146,1.3902,4.4274,1.3536,5.8864,2.6681,2.139,3.027,1.3919,5.481,2.1129,1.9148,5.8182,3.1287,6.373,1.3605,4.0695,3.4824,0.8351,2.0746,1.0987,3.498,1.9044,0.8174,4.5554,1.5725
15-Jan-13,1.1243,2.9669,2.2139,2.6688,1.2949,1.9821,3.0032,5.3697,5.054,0.7444,2.5655,1.8056,0.865,1.6566,1.6837,1.751,2.5243,0.9361,1.8563,4.5102,1.3798,4.4409,1.3523,5.8849,2.6636,2.1369,3.0403,1.3947,5.4744,2.1109,1.9151,5.8126,3.1554,6.4187,1.3558,4.0544,3.477,0.8331,2.0726,1.0977,3.4943,1.9047,0.8146,4.5515,1.5688
16-Jan-13,1.1299,2.9622,2.2103,2.6605,1.2918,1.9771,3.0043,5.3725,5.0383,0.7522,2.5632,1.7854,0.8632,1.6565,1.6817,1.7478,2.5263,0.9355,1.8671,4.5102,1.3722,4.4367,1.3517,5.8908,2.6653,2.1366,3.0333,1.3963,5.475,2.1105,1.9128,5.8123,3.1492,6.4034,1.3573,4.0547,3.4759,0.833,2.0724,1.0977,3.4947,1.8898,0.8156,4.5509,1.5681
17-Jan-13,1.1285,2.9525,2.2031,2.6564,1.2866,1.9633,2.9709,5.3426,5.0829,0.7481,2.5458,1.782,0.8615,1.6562,1.6804,1.7475,2.5162,0.9359,1.8799,4.5094,1.3649,4.4506,1.3533,5.8856,2.6637,2.1363,3.0234,1.3897,5.4588,2.1101,1.9147,5.8112,3.1308,6.3715,1.3593,4.0635,3.4748,0.8329,2.0721,1.0979,3.4937,1.8721,0.8137,4.55,1.5647
18-Jan-13,1.1245,2.9671,2.2141,2.6539,1.2892,1.9618,2.9848,5.3727,5.1112,0.7568,2.5576,1.7787,0.8666,1.6565,1.6768,1.742,2.5107,0.9431,1.8533,4.5102,1.3673,4.4532,1.3537,5.8929,2.6655,2.1367,3.0512,1.3903,5.4592,2.1105,1.9217,5.8123,3.1314,6.3775,1.3588,4.0738,3.4782,0.833,2.0724,1.0992,3.4925,1.8901,0.8111,4.5508,1.5657
19-Jan-13,1.1344,2.9692,2.216,2.6442,1.2896,1.9791,2.9805,5.3693,5.1124,0.7578,2.5589,1.7756,0.8643,1.6598,1.6766,1.7426,2.5152,0.9445,1.8485,4.5192,1.3744,4.4621,1.3528,5.9005,2.6707,2.141,3.0826,1.3849,5.4948,2.1149,1.9278,5.8239,3.1615,6.4378,1.3626,4.0852,3.4854,0.8347,2.0766,1.1007,3.4909,1.8744,0.8143,4.5593,1.5706
20-Jan-13,1.1344,2.9692,2.216,2.6442,1.2896,1.9791,2.9805,5.3693,5.1124,0.7578,2.5589,1.7756,0.8643,1.6598,1.6766,1.7426,2.5152,0.9445,1.8485,4.5192,1.3744,4.4621,1.3528,5.9005,2.6707,2.141,3.0826,1.3849,5.4948,2.1149,1.9278,5.8239,3.1615,6.4378,1.3626,4.0852,3.4854,0.8347,2.0766,1.1007,3.4909,1.8744,0.8143,4.5593,1.5706
21-Jan-13,1.1344,2.9692,2.216,2.6442,1.2896,1.9791,2.9805,5.3693,5.1124,0.7578,2.5589,1.7756,0.8643,1.6598,1.6766,1.7426,2.5152,0.9445,1.8485,4.5192,1.3744,4.4621,1.3528,5.9005,2.6707,2.141,3.0826,1.3849,5.4948,2.1149,1.9278,5.8239,3.1615,6.4378,1.3626,4.0852,3.4854,0.8347,2.0766,1.1007,3.4909,1.8744,0.8143,4.5593,1.5706
22-Jan-13,1.1307,2.9582,2.2075,2.6339,1.2925,1.9756,2.9596,5.2885,5.0757,0.7544,2.5368,1.7798,0.8633,1.6598,1.6712,1.7461,2.5075,0.9415,1.8541,4.5192,1.3693,4.4378,1.3499,5.8984,2.6681,2.1408,3.078,1.3871,5.4784,2.1149,1.9278,5.8239,3.1436,6.4053,1.3675,4.0827,3.4859,0.8326,2.0766,1.1018,3.487,1.8695,0.8127,4.56,1.5619
23-Jan-13,1.136,2.9835,2.2265,2.6425,1.3029,1.9919,2.989,5.3452,5.1109,0.7585,2.5623,1.7973,0.8707,1.6677,1.6818,1.7631,2.5155,0.9469,1.8799,4.5407,1.3799,4.473,1.3601,5.9285,2.6812,2.151,3.1004,1.4044,5.5231,2.125,1.9302,5.8516,3.1645,6.4527,1.3759,4.0992,3.5028,0.8366,2.0865,1.1069,3.5034,1.8912,0.8172,4.5823,1.5702
24-Jan-13,1.1352,2.9774,2.2218,2.6442,1.2954,1.9819,3.0003,5.3444,5.0823,0.7563,2.5581,1.7953,0.8684,1.6673,1.6824,1.761,2.5134,0.9415,1.8878,4.5397,1.377,4.4851,1.3595,5.9229,2.6815,2.1505,3.1063,1.4054,5.5155,2.1242,1.9297,5.8502,3.1578,6.4226,1.3781,4.1027,3.4995,0.8364,2.086,1.1062,3.5008,1.8588,0.8163,4.5807,1.5641
25-Jan-13,1.1315,2.9647,2.2122,2.6299,1.2874,1.98,2.9867,5.2829,5.0617,0.751,2.5492,1.7846,0.8652,1.6602,1.66,1.7439,2.503,0.9377,1.8531,4.5201,1.3705,4.4621,1.3527,5.8935,2.6693,2.1413,3.089,1.3971,5.5038,2.1157,1.9238,5.8253,3.1443,6.3955,1.3711,4.0948,3.4867,0.8328,2.0771,1.101,3.4824,1.8379,0.8157,4.5646,1.5535
26-Jan-13,1.1331,2.9894,2.2308,2.62,1.2924,1.9951,3.0133,5.3364,5.1173,0.7518,2.5742,1.7979,0.8727,1.6602,1.6556,1.7362,2.5011,0.9398,1.8304,4.52,1.3782,4.4689,1.3491,5.8956,2.6684,2.141,3.0836,1.3927,5.5257,2.1157,1.9238,5.8253,3.1563,6.4484,1.3702,4.0977,3.4868,0.8328,2.0771,1.1017,3.4763,1.8442,0.8184,4.5644,1.5461
27-Jan-13,1.1331,2.9894,2.2308,2.62,1.2924,1.9951,3.0133,5.3364,5.1173,0.7518,2.5742,1.7979,0.8727,1.6602,1.6556,1.7362,2.5011,0.9398,1.8304,4.52,1.3782,4.4689,1.3491,5.8956,2.6684,2.141,3.0836,1.3927,5.5257,2.1157,1.9238,5.8253,3.1563,6.4484,1.3702,4.0977,3.4868,0.8328,2.0771,1.1017,3.4763,1.8442,0.8184,4.5644,1.5461
28-Jan-13,1.1331,2.9894,2.2308,2.62,1.2924,1.9951,3.0133,5.3364,5.1173,0.7518,2.5742,1.7979,0.8727,1.6602,1.6556,1.7362,2.5011,0.9398,1.8304,4.52,1.3782,4.4689,1.3491,5.8956,2.6684,2.141,3.0836,1.3927,5.5257,2.1157,1.9238,5.8253,3.1563,6.4484,1.3702,4.0977,3.4868,0.8328,2.0771,1.1017,3.4763,1.8442,0.8184,4.5644,1.5461
29-Jan-13,1.1432,2.9926,2.2327,2.611,1.2933,2.0028,3.0013,5.3412,5.0897,0.7511,2.5728,1.7921,0.8708,1.66,1.6441,1.7244,2.4943,0.9396,1.8306,4.5197,1.3759,4.4508,1.3401,5.9012,2.6671,2.1399,3.0803,1.3753,5.5189,2.1157,1.928,5.8246,3.1801,6.4586,1.3665,4.0858,3.4802,0.8305,2.0768,1.1011,3.4729,1.8542,0.8183,4.5604,1.5199
30-Jan-13,1.1397,2.9842,2.226,2.6059,1.2845,1.9925,2.9967,5.2978,5.0761,0.7478,2.5825,1.7936,0.8672,1.658,1.6478,1.7314,2.4908,0.9366,1.8331,4.5143,1.3723,4.4481,1.3401,5.8962,2.6632,2.1371,3.0847,1.3848,5.4989,2.1134,1.9168,5.8175,3.1702,6.4526,1.3662,4.0808,3.4757,0.8295,2.0743,1.1006,3.4693,1.8256,0.8311,4.5547,1.5318
31-Jan-13,1.1383,3.0094,2.2448,2.6127,1.2902,1.9952,3.0193,5.3558,5.1248,0.7582,2.6086,1.8051,0.8764,1.6574,1.6531,1.7303,2.4795,0.9383,1.8155,4.5126,1.3765,4.4482,1.3416,5.9024,2.6647,2.1363,3.1037,1.3819,5.5196,2.113,1.9205,5.8154,3.1812,6.4859,1.3673,4.0647,3.4805,0.8292,2.0736,1.099,3.4696,1.8349,0.8348,4.5533,1.5271
01-Feb-13,1.1475,3.0112,2.2466,2.619,1.3089,2.0173,3.021,5.3563,5.129,0.7687,2.607,1.8194,0.8768,1.6575,1.654,1.726,2.4798,0.94,1.8208,4.5129,1.3729,4.446,1.3395,5.8986,2.6654,2.1369,3.1179,1.3883,5.522,2.1131,1.914,5.8158,3.1998,6.5059,1.3699,4.0693,3.481,0.8292,2.0737,1.099,3.468,1.8441,0.8338,4.5536,1.5229
02-Feb-13,1.1481,3.0338,2.2638,2.6219,1.3137,2.0268,3.0404,5.3912,5.177,0.773,2.6272,1.8313,0.8818,1.6571,1.6578,1.7182,2.4676,0.9449,1.7983,4.5117,1.373,4.4983,1.3353,5.9077,2.6614,2.1364,3.1148,1.3928,5.5243,2.1126,1.9179,5.8144,3.2114,6.5392,1.3716,4.0751,3.4756,0.829,2.0732,1.0988,3.4641,1.8463,0.8325,4.5525,1.5103
03-Feb-13,1.1481,3.0338,2.2638,2.6219,1.3137,2.0268,3.0404,5.3912,5.177,0.773,2.6272,1.8313,0.8818,1.6571,1.6578,1.7182,2.4676,0.9449,1.7983,4.5117,1.373,4.4983,1.3353,5.9077,2.6614,2.1364,3.1148,1.3928,5.5243,2.1126,1.9179,5.8144,3.2114,6.5392,1.3716,4.0751,3.4756,0.829,2.0732,1.0988,3.4641,1.8463,0.8325,4.5525,1.5103
04-Feb-13,1.1481,3.0338,2.2638,2.6219,1.3137,2.0268,3.0404,5.3912,5.177,0.773,2.6272,1.8313,0.8818,1.6571,1.6578,1.7182,2.4676,0.9449,1.7983,4.5117,1.373,4.4983,1.3353,5.9077,2.6614,2.1364,3.1148,1.3928,5.5243,2.1126,1.9179,5.8144,3.2114,6.5392,1.3716,4.0751,3.4756,0.829,2.0732,1.0988,3.4641,1.8463,0.8325,4.5525,1.5103
05-Feb-13,1.1554,3.0105,2.2456,2.6032,1.3106,2.0285,3.0221,5.4027,5.1409,0.7674,2.6178,1.8183,0.8763,1.6563,1.6628,1.7267,2.471,0.944,1.7837,4.5094,1.3695,4.4953,1.3379,5.888,2.6576,2.1359,3.1098,1.4011,5.5348,2.1116,1.9126,5.8116,3.2099,6.5358,1.3721,4.0738,3.4728,0.8263,2.0722,1.0978,3.4597,1.8558,0.8326,4.5503,1.5271
06-Feb-13,1.1478,3.008,2.2437,2.6136,1.3089,2.0055,3.027,5.3769,5.1307,0.7671,2.6215,1.8225,0.875,1.6565,1.6592,1.7223,2.4735,0.9423,1.7812,4.5102,1.3653,4.4912,1.3391,5.8866,2.6587,2.1364,3.1178,1.3973,5.4991,2.1113,1.9084,5.8123,3.1795,6.4649,1.3759,4.0746,3.479,0.8264,2.0724,1.0987,3.4578,1.867,0.8303,4.5503,1.5242
07-Feb-13,1.1465,3.0052,2.2417,2.5946,1.3067,2.0169,3.0158,5.3567,5.1142,0.7618,2.6099,1.8155,0.8716,1.6565,1.6617,1.7067,2.4722,0.9388,1.7686,4.5101,1.3724,4.4858,1.338,5.8971,2.6584,2.1363,3.1137,1.3936,5.5291,2.111,1.9084,5.8123,3.1979,6.4958,1.3755,4.0822,3.4797,0.8264,2.0724,1.0997,3.4525,1.8617,0.835,4.5502,1.5228
08-Feb-13,1.1449,3.0135,2.2482,2.6035,1.3082,2.014,3.022,5.3702,5.1013,0.7656,2.6115,1.8247,0.8902,1.6565,1.6665,1.7112,2.4684,0.9382,1.7649,4.5102,1.3689,4.4945,1.3385,5.895,2.658,2.136,3.1102,1.3865,5.5126,2.1107,1.9106,5.8123,3.1917,6.49,1.3752,4.0797,3.48,0.8264,2.0724,1.1005,3.4535,1.8647,0.832,4.5503,1.523
09-Feb-13,1.147,2.9775,2.2213,2.6095,1.2965,1.9909,3.0027,5.3275,5.0553,0.7601,2.5821,1.8072,0.8805,1.6561,1.6596,1.7126,2.4683,0.9358,1.7902,4.5088,1.3516,4.4856,1.3388,5.8915,2.6563,2.1353,3.0935,1.3867,5.4915,2.1102,1.9146,5.8109,3.1605,6.4272,1.3766,4.079,3.4809,0.8262,2.0719,1.1004,3.4525,1.8583,0.8483,4.5494,1.5116
10-Feb-13,1.147,2.9775,2.2213,2.6095,1.2965,1.9909,3.0027,5.3275,5.0553,0.7601,2.5821,1.8072,0.8805,1.6561,1.6596,1.7126,2.4683,0.9358,1.7902,4.5088,1.3516,4.4856,1.3388,5.8915,2.6563,2.1353,3.0935,1.3867,5.4915,2.1102,1.9146,5.8109,3.1605,6.4272,1.3766,4.079,3.4809,0.8262,2.0719,1.1004,3.4525,1.8583,0.8483,4.5494,1.5116
11-Feb-13,1.147,2.9775,2.2213,2.6095,1.2965,1.9909,3.0027,5.3275,5.0553,0.7601,2.5821,1.8072,0.8805,1.6561,1.6596,1.7126,2.4683,0.9358,1.7902,4.5088,1.3516,4.4856,1.3388,5.8915,2.6563,2.1353,3.0935,1.3867,5.4915,2.1102,1.9146,5.8109,3.1605,6.4272,1.3766,4.079,3.4809,0.8262,2.0719,1.1004,3.4525,1.8583,0.8483,4.5494,1.5116
