Date,BGN,DKK,EUR,GBP,ISK,RSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,TMT,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS,ZAR,BRL,QAR,KRW
01-Jan-14,1.2238,3.2068,2.392,2.8692,1.5117,2.0891,2.8567,5.7675,5.3429,0.8053,2.7106,1.9497,0.8731,1.7366,1.6314,1.5478,2.5005,0.8142,1.6541,4.7284,0.7044,5.0107,1.3728,6.1582,2.8688,2.2396,2.8082,1.4271,5.306,2.2136,1.8242,6.0933,6.9331,1.33,4.2811,3.6375,0.7886,2.1727,1.1305,3.5304,1.6517,0.7361,4.77,1.6547
02-Jan-14,1.2238,3.2068,2.392,2.8692,1.5117,2.0891,2.8567,5.7675,5.3429,0.8053,2.7106,1.9497,0.8731,1.7366,1.6314,1.5478,2.5005,0.8142,1.6541,4.7284,0.7044,5.0107,1.3728,6.1582,2.8688,2.2396,2.8082,1.4271,5.306,2.2136,1.8242,6.0933,6.9331,1.33,4.2811,3.6375,0.7886,2.1727,1.1305,3.5304,1.6517,0.7361,4.77,1.6547
03-Jan-14,1.2238,3.2068,2.392,2.8692,1.5117,2.0891,2.8567,5.7675,5.3429,0.8053,2.7106,1.9497,0.8731,1.7366,1.6314,1.5478,2.5005,0.8142,1.6541,4.7284,0.7044,5.0107,1.3728,6.1582,2.8688,2.2396,2.8082,1.4271,5.306,2.2136,1.8242,6.0933,6.9331,1.33,4.2811,3.6375,0.7886,2.1727,1.1305,3.5304,1.6517,0.7361,4.77,1.6547
04-Jan-14,1.2136,3.1804,2.3721,2.8627,1.5044,2.0674,2.8258,5.6945,5.2854,0.794,2.6693,1.9295,0.8627,1.7379,1.6335,1.5625,2.4988,0.7983,1.6647,4.7318,0.7049,4.9626,1.3723,6.1584,2.8722,2.2412,2.795,1.4371,5.3214,2.2153,1.8255,6.0979,6.8713,1.3344,4.2843,3.6403,0.7892,2.1743,1.1281,3.5331,1.6356,0.728,4.7729,1.6472
05-Jan-14,1.2136,3.1804,2.3721,2.8627,1.5044,2.0674,2.8258,5.6945,5.2854,0.794,2.6693,1.9295,0.8627,1.7379,1.6335,1.5625,2.4988,0.7983,1.6647,4.7318,0.7049,4.9626,1.3723,6.1584,2.8722,2.2412,2.795,1.4371,5.3214,2.2153,1.8255,6.0979,6.8713,1.3344,4.2843,3.6403,0.7892,2.1743,1.1281,3.5331,1.6356,0.728,4.7729,1.6472
06-Jan-14,1.2136,3.1804,2.3721,2.8627,1.5044,2.0674,2.8258,5.6945,5.2854,0.794,2.6693,1.9295,0.8627,1.7379,1.6335,1.5625,2.4988,0.7983,1.6647,4.7318,0.7049,4.9626,1.3723,6.1584,2.8722,2.2412,2.795,1.4371,5.3214,2.2153,1.8255,6.0979,6.8713,1.3344,4.2843,3.6403,0.7892,2.1743,1.1281,3.5331,1.6356,0.728,4.7729,1.6472
07-Jan-14,1.2176,3.1887,2.3785,2.8608,1.5053,2.0619,2.8289,5.6985,5.2937,0.7949,2.6825,1.9325,0.8649,1.7466,1.6437,1.5657,2.5109,0.7992,1.6711,4.7554,0.7043,4.988,1.3779,6.1892,2.886,2.2523,2.8022,1.4464,5.348,2.2264,1.8347,6.1284,6.8696,1.341,4.3058,3.6583,0.7927,2.1852,1.1337,3.5508,1.6335,0.7351,4.7969,1.6396
08-Jan-14,1.2176,3.1887,2.3785,2.8608,1.5053,2.0619,2.8289,5.6985,5.2937,0.7949,2.6825,1.9325,0.8649,1.7466,1.6437,1.5657,2.5109,0.7992,1.6711,4.7554,0.7043,4.988,1.3779,6.1892,2.886,2.2523,2.8022,1.4464,5.348,2.2264,1.8347,6.1284,6.8696,1.341,4.3058,3.6583,0.7927,2.1852,1.1337,3.5508,1.6335,0.7351,4.7969,1.6396
09-Jan-14,1.215,3.1729,2.367,2.8598,1.4934,2.0629,2.81,5.6624,5.2641,0.7882,2.6581,1.9142,0.8616,1.7421,1.6117,1.5547,2.5025,0.7989,1.6636,4.7431,0.7066,4.9675,1.3711,6.1624,2.8794,2.2465,2.8031,1.4419,5.3343,2.2207,1.828,6.1126,6.8703,1.3376,4.2947,3.649,0.7907,2.1795,1.1278,3.5416,1.6295,0.7345,4.7852,1.6367
10-Jan-14,1.2108,3.1788,2.3715,2.8666,1.4894,2.0576,2.8156,5.6801,5.235,0.7916,2.6567,1.9173,0.8646,1.7421,1.6071,1.5477,2.5038,0.797,1.6595,4.7431,0.7066,4.9736,1.3705,6.1645,2.8773,2.2467,2.8062,1.439,5.2545,2.2209,1.8261,6.1126,6.8619,1.3357,4.2914,3.6489,0.7907,2.1795,1.1276,3.5303,1.6128,0.7271,4.7853,1.6396
11-Jan-14,1.2146,3.1794,2.3721,2.8637,1.4922,2.0642,2.819,5.6838,5.2186,0.7925,2.674,1.9219,0.8666,1.7451,1.6072,1.5526,2.5071,0.8016,1.6623,4.7513,0.7079,4.9953,1.3741,6.1817,2.8839,2.2503,2.8169,1.4369,5.2553,2.2248,1.8292,6.1232,6.88,1.3364,4.2918,3.6553,0.7921,2.1833,1.1294,3.5295,1.6201,0.7301,4.7934,1.6445
12-Jan-14,1.2146,3.1794,2.3721,2.8637,1.4922,2.0642,2.819,5.6838,5.2186,0.7925,2.674,1.9219,0.8666,1.7451,1.6072,1.5526,2.5071,0.8016,1.6623,4.7513,0.7079,4.9953,1.3741,6.1817,2.8839,2.2503,2.8169,1.4369,5.2553,2.2248,1.8292,6.1232,6.88,1.3364,4.2918,3.6553,0.7921,2.1833,1.1294,3.5295,1.6201,0.7301,4.7934,1.6445
13-Jan-14,1.2146,3.1794,2.3721,2.8637,1.4922,2.0642,2.819,5.6838,5.2186,0.7925,2.674,1.9219,0.8666,1.7451,1.6072,1.5526,2.5071,0.8016,1.6623,4.7513,0.7079,4.9953,1.3741,6.1817,2.8839,2.2503,2.8169,1.4369,5.2553,2.2248,1.8292,6.1232,6.88,1.3364,4.2918,3.6553,0.7921,2.1833,1.1294,3.5295,1.6201,0.7301,4.7934,1.6445
